"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J2,J1";"PhoenixContact_MSTBA_2,5_2-G-5,00_1x10_2.5mm_45deg compact";2;"Screw_Terminal_01x10";;;
2;"J4";"Molex_SL_171971-0010_1x10_P2.54mm_Vertical";1;"Conn_01x10_Pin";;;
3;"R6,R4,R10,R9,R3,R11,R5,R7,R8";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";9;"4.7k";;;
4;"R2,R1";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";2;"10k";;;
5;"C2,C5,C6,C8,C7,C1";"C_Axial_L3.8mm_D2.6mm_P5.5mm_Horizontal";6;"0.1µF";;;
6;"U3,U2";"SOT-23-6";2;"TPS27081ADDCR";;;
7;"J3";"PinSocket_1x06_P2.54mm_Vertical";1;"SMX Header";;;
8;"U4";"DIP-16_W7.62mm_Socket";1;"74HC595";;;
9;"U6,U5,U7";"DIP-14_W7.62mm";3;"CD4066BE";;;
10;"SW1";"DPDT Slide switch - CL-SB-22C-02";1;"SW_Slide_DPDT";;;
11;"C4,C3";"CP_Radial_D5.0mm_P2.50mm";2;"10µF";;;
12;"U1";"ESP32-DevKitC";1;"ESP32-DevKitC";;;
